source;record_sequence_number_NGA;event_id;ev_depth_km;Mw;M;epi_lat;epi_lon;network_code;station_code;sensor_depth_m;proximity_code;GMX_first;ec8_code;vs30_m_sec;epi_dist;rotD50_pga;rotD50_T0_010;rotD50_T0_025;rotD50_T0_040;rotD50_T0_050;rotD50_T0_070;rotD50_T0_100;rotD50_T0_150;rotD50_T0_200;rotD50_T0_250;rotD50_T0_300;rotD50_T0_350;rotD50_T0_400;rotD50_T0_450;rotD50_T0_500;rotD50_T0_600;rotD50_T0_700;rotD50_T0_750;rotD50_T0_800;rotD50_T0_900;rotD50_T1_000;rotD50_T1_200;rotD50_T1_400;rotD50_T1_600;rotD50_T1_800;rotD50_T2_000;rotD50_T2_500;rotD50_T3_000;rotD50_T3_500;rotD50_T4_000;rotD50_T5_000;rotD50_T6_000;rotD50_T7_000;rotD50_T8_000;rotD50_T9_000;rotD50_T10_000
NGA-West2;1;1;6;;6;46.61;-111.96;;2022;;;E;;593.35;6.31;1.57E-01;1.57E-01;1.57E-01;2.45E-01;3.04E-01;6.18E-01;4.03E-01;7.39E-01;3.60E-01;4.92E-01;4.49E-01;4.69E-01;4.55E-01;2.33E-01;1.73E-01;1.30E-01;1.18E-01;1.17E-01;1.14E-01;1.24E-01;1.33E-01;1.07E-01;8.11E-02;6.45E-02;5.15E-02;4.19E-02;2.77E-02;1.97E-02;1.28E-02;9.02E-03;5.86E-03;3.28E-03;2.27E-03;1.78E-03;1.40E-03;1.15E-03
NGA-West2;2;2;6;;6;46.62;-111.97;;2229;;;C;;551.82;6.31;4.64E-02;4.65E-02;4.65E-02;8.64E-02;7.80E-02;2.20E-01;6.62E-02;5.88E-02;1.89E-02;2.02E-02;1.27E-02;1.18E-02;8.36E-03;6.58E-03;6.63E-03;4.87E-03;3.47E-03;3.15E-03;2.71E-03;2.24E-03;2.29E-03;2.34E-03;1.88E-03;1.61E-03;1.11E-03;1.23E-03;4.82E-04;3.29E-04;1.75E-04;1.27E-04;7.17E-05;4.57E-05;3.26E-05;2.44E-05;1.90E-05;1.52E-05
NGA-West2;3;3;10;;5.8;40.4;-125.1;;1023;;;B;;219.31;73.49;4.10E-02;4.10E-02;4.10E-02;4.16E-02;4.46E-02;4.42E-02;8.15E-02;1.55E-01;1.48E-01;1.52E-01;1.81E-01;1.62E-01;1.51E-01;1.14E-01;1.23E-01;1.57E-01;1.12E-01;1.19E-01;1.31E-01;7.18E-02;5.29E-02;6.25E-02;5.36E-02;3.21E-02;2.06E-02;1.59E-02;9.27E-03;3.55E-03;4.37E-03;2.33E-03;1.39E-03;6.70E-04;5.18E-04;2.98E-04;2.44E-04;1.83E-04
NGA-West2;4;4;16;;5;32.9;-115.217;;117;;;E;;213.44;33.2;1.84E-02;1.84E-02;1.84E-02;2.52E-02;3.55E-02;4.52E-02;8.13E-02;1.94E-01;8.00E-02;1.01E-01;5.05E-02;5.99E-02;5.44E-02;5.51E-02;4.47E-02;3.62E-02;1.89E-02;2.27E-02;2.09E-02;1.53E-02;1.80E-02;6.61E-03;5.40E-03;2.18E-03;1.77E-03;1.29E-03;1.12E-03;4.07E-04;2.28E-04;1.65E-04;1.10E-04;7.15E-05;4.71E-05;3.44E-05;2.69E-05;2.19E-05
NGA-West2;5;5;10;;5.5;40.3;-124.8;;1023;;;B;;219.31;54.88;1.22E-01;1.23E-01;1.23E-01;1.40E-01;1.39E-01;1.50E-01;2.55E-01;4.16E-01;5.18E-01;3.56E-01;5.34E-01;3.45E-01;4.15E-01;4.11E-01;3.28E-01;1.68E-01;1.55E-01;1.66E-01;1.35E-01;1.60E-01;1.78E-01;6.39E-02;6.19E-02;2.89E-02;2.33E-02;1.87E-02;8.81E-03;4.43E-03;4.71E-03;2.86E-03;1.45E-03;1.22E-03;7.15E-04;4.76E-04;3.49E-04;2.86E-04
NGA-West2;6;6;8.8;;6.95;32.7601;-115.4162;;117;;;E;;213.44;12.98;2.33E-01;2.34E-01;2.34E-01;2.37E-01;2.43E-01;2.79E-01;9.04E-01;1.36E+00;1.10E+00;1.46E+00;1.09E+00;1.01E+00;1.18E+00;1.28E+00;9.07E-01;8.45E-01;1.12E+00;5.12E-01;7.49E-01;8.32E-01;5.23E-01;6.30E-01;4.42E-01;2.85E-01;3.48E-01;3.84E-01;1.79E-01;1.75E-01;7.83E-02;5.43E-02;7.00E-02;4.82E-02;4.08E-02;1.92E-02;1.23E-02;8.64E-03
NGA-West2;7;7;10;;6.6;40.7;-125.4;;1023;;;B;;219.31;97;4.94E-02;4.95E-02;4.95E-02;5.20E-02;5.02E-02;6.99E-02;9.03E-02;1.86E-01;2.09E-01;3.89E-01;2.29E-01;2.45E-01;1.42E-01;1.55E-01;1.45E-01;2.83E-01;9.95E-02;7.55E-02;7.86E-02;8.81E-02;3.91E-02;4.63E-02;4.18E-02;3.58E-02;2.86E-02;2.53E-02;1.31E-02;2.16E-02;1.75E-02;6.75E-03;4.88E-03;2.87E-03;1.87E-03;1.94E-03;1.44E-03;9.92E-04
NGA-West2;8;8;10;;6.4;40.4;-124.8;;1023;;;B;;219.31;49.49;1.17E-01;1.17E-01;1.17E-01;1.24E-01;1.20E-01;1.60E-01;2.01E-01;3.64E-01;4.89E-01;4.09E-01;5.25E-01;4.21E-01;4.55E-01;3.33E-01;2.32E-01;4.48E-01;2.83E-01;1.77E-01;1.83E-01;2.04E-01;1.50E-01;4.61E-02;4.93E-02;3.40E-02;2.12E-02;1.76E-02;1.70E-02;1.20E-02;9.74E-03;7.00E-03;2.69E-03;1.54E-03;9.84E-04;7.15E-04;5.64E-04;4.63E-04
NGA-West2;9;9;8;;6.5;33.049;-116.088;;117;;;E;;213.44;57.79;5.22E-02;5.23E-02;5.23E-02;5.87E-02;7.70E-02;1.31E-01;2.29E-01;2.65E-01;3.53E-01;4.21E-01;2.46E-01;3.17E-01;2.41E-01;1.77E-01;4.65E-01;1.96E-01;1.24E-01;1.67E-01;2.11E-01;1.44E-01;1.21E-01;9.96E-02;1.12E-01;1.14E-01;1.08E-01;9.59E-02;3.18E-02;2.10E-02;1.91E-02;1.56E-02;3.33E-02;3.34E-02;2.65E-02;1.55E-02;8.06E-03;4.63E-03
NGA-West2;10;10;9.5;;5.6;33.032;-115.654;;117;;;E;;213.44;28.24;2.94E-02;2.94E-02;2.94E-02;3.07E-02;3.17E-02;4.19E-02;7.89E-02;1.23E-01;1.09E-01;1.79E-01;1.33E-01;1.23E-01;1.28E-01;1.79E-01;1.53E-01;1.61E-01;1.23E-01;1.07E-01;9.79E-02;8.64E-02;6.15E-02;4.39E-02;4.96E-02;3.13E-02;3.38E-02;2.62E-02;1.49E-02;9.13E-03;8.87E-03;4.82E-03;2.12E-03;1.26E-03;1.04E-03;7.97E-04;5.40E-04;4.17E-04
NGA-West2;11;11;10;;5.8;40.283;-124.8;;1023;;;B;;219.31;55.96;1.07E-01;1.07E-01;1.07E-01;1.11E-01;1.31E-01;1.27E-01;2.74E-01;5.16E-01;4.31E-01;3.90E-01;6.41E-01;2.29E-01;4.46E-01;4.26E-01;2.50E-01;1.98E-01;2.75E-01;2.42E-01;2.52E-01;1.43E-01;1.54E-01;8.04E-02;7.07E-02;4.55E-02;3.39E-02;2.67E-02;1.19E-02;8.39E-03;4.65E-03;2.85E-03;1.51E-03;1.00E-03;7.37E-04;5.67E-04;4.49E-04;3.64E-04
NGA-West2;12;12;15.63;;7.36;34.9906;-119.024;;24303;;;I;;316.46;118.26;5.27E-02;5.28E-02;5.28E-02;5.55E-02;5.52E-02;7.27E-02;1.10E-01;1.59E-01;2.23E-01;3.04E-01;2.39E-01;2.97E-01;2.69E-01;2.62E-01;3.92E-01;1.71E-01;1.91E-01;1.58E-01;2.92E-01;1.77E-01;2.31E-01;1.35E-01;1.88E-01;1.08E-01;4.62E-02;6.87E-02;9.75E-02;5.26E-02;7.66E-02;5.44E-02;2.19E-02;1.58E-02;1.18E-02;7.91E-03;4.79E-03;4.20E-03
NGA-West2;13;12;15.63;;7.36;34.9906;-119.024;;80053;;;C;;415.13;125.81;5.10E-02;5.12E-02;5.12E-02;5.12E-02;5.23E-02;5.41E-02;7.41E-02;9.56E-02;1.33E-01;2.13E-01;2.24E-01;2.22E-01;1.73E-01;2.45E-01;2.37E-01;1.91E-01;4.47E-01;2.12E-01;2.46E-01;2.88E-01;2.26E-01;1.50E-01;1.24E-01;1.75E-01;1.17E-01;1.23E-01;7.45E-02;4.27E-02;3.87E-02;2.54E-02;9.33E-03;6.48E-03;3.88E-03;2.46E-03;2.31E-03;1.78E-03
NGA-West2;14;12;15.63;;7.36;34.9906;-119.024;;283;;;C;;514.99;88.39;1.01E-01;1.01E-01;1.01E-01;1.01E-01;1.03E-01;1.07E-01;1.36E-01;1.43E-01;2.03E-01;2.64E-01;4.28E-01;3.71E-01;4.97E-01;4.23E-01;5.47E-01;3.57E-01;3.08E-01;4.05E-01;3.81E-01;5.70E-01;4.84E-01;2.60E-01;3.60E-01;2.68E-01;2.26E-01;2.56E-01;1.03E-01;5.21E-02;3.23E-02;4.11E-02;1.87E-02;8.86E-03;7.66E-03;3.19E-03;2.41E-03;1.80E-03
NGA-West2;15;12;15.63;;7.36;34.9906;-119.024;;1095;;;F;;385.43;43.49;1.65E-01;1.65E-01;1.65E-01;1.69E-01;1.84E-01;2.31E-01;4.45E-01;6.06E-01;9.68E-01;6.89E-01;1.02E+00;1.12E+00;7.25E-01;9.33E-01;7.00E-01;7.40E-01;6.60E-01;5.18E-01;5.62E-01;4.88E-01;3.13E-01;2.38E-01;2.31E-01;2.25E-01;1.81E-01;1.02E-01;7.41E-02;6.17E-02;5.68E-02;5.97E-02;4.71E-02;3.57E-02;3.02E-02;1.56E-02;2.14E-02;1.29E-02
NGA-West2;16;13;10;;5.2;40.2;-124.417;;1023;;;B;;219.31;43.83;6.84E-02;6.85E-02;6.85E-02;7.44E-02;8.70E-02;9.17E-02;1.39E-01;3.57E-01;3.44E-01;2.83E-01;2.69E-01;4.41E-01;3.19E-01;1.49E-01;1.77E-01;1.45E-01;2.21E-01;2.79E-01;1.84E-01;1.38E-01;1.19E-01;1.06E-01;5.89E-02;7.75E-02;3.19E-02;3.82E-02;2.55E-02;1.97E-02;1.05E-02;5.54E-03;2.62E-03;1.59E-03;1.05E-03;7.52E-04;5.68E-04;4.47E-04
NGA-West2;17;14;10;;6;35.833;-121.167;;1083;;;C;;493.5;76.27;4.31E-02;4.31E-02;4.31E-02;4.47E-02;4.77E-02;7.26E-02;9.61E-02;1.66E-01;2.60E-01;2.01E-01;1.94E-01;1.19E-01;2.17E-01;1.21E-01;1.45E-01;2.14E-01;1.17E-01;1.00E-01;8.64E-02;1.07E-01;1.02E-01;7.83E-02;4.10E-02;4.29E-02;3.25E-02;1.76E-02;1.40E-02;8.89E-03;1.05E-02;8.73E-03;5.21E-03;4.89E-03;3.45E-03;1.97E-03;1.20E-03;7.68E-04
NGA-West2;18;15;9.5;;5.5;32.783;-115.717;;117;;;E;;213.44;15.76;2.79E-02;2.80E-02;2.80E-02;3.09E-02;3.36E-02;4.11E-02;6.46E-02;1.28E-01;1.47E-01;2.02E-01;6.86E-02;1.07E-01;5.85E-02;8.31E-02;1.25E-01;7.51E-02;1.24E-01;8.17E-02;1.20E-01;8.67E-02;4.55E-02;5.05E-02;4.35E-02;4.36E-02;3.08E-02;1.99E-02;1.27E-02;5.41E-03;5.99E-03;4.76E-03;2.28E-03;1.87E-03;1.21E-03;9.25E-04;7.19E-04;4.84E-04
NGA-West2;19;16;7.4;;5.3;36.933;-121.683;;1028;;;C;;198.77;26.83;4.77E-02;4.77E-02;4.77E-02;4.88E-02;4.86E-02;5.35E-02;7.21E-02;2.79E-01;2.43E-01;2.25E-01;1.73E-01;2.20E-01;2.04E-01;1.88E-01;2.55E-01;2.41E-01;3.21E-01;2.12E-01;2.31E-01;8.43E-02;9.29E-02;6.30E-02;3.90E-02;3.70E-02;2.18E-02;1.63E-02;1.06E-02;9.45E-03;7.75E-03;7.26E-03;3.60E-03;1.24E-03;8.46E-04;5.50E-04;3.26E-04;2.79E-04
NGA-West2;20;17;10;;6.5;40.8167;-124.083;;1023;;;B;;219.31;30.79;1.86E-01;1.86E-01;1.86E-01;2.10E-01;2.02E-01;2.22E-01;3.36E-01;4.97E-01;4.97E-01;4.88E-01;4.62E-01;4.90E-01;7.81E-01;4.27E-01;5.57E-01;5.33E-01;4.82E-01;5.95E-01;6.15E-01;4.62E-01;3.61E-01;6.52E-01;6.19E-01;6.76E-01;3.42E-01;3.39E-01;2.07E-01;1.17E-01;1.27E-01;7.84E-02;6.33E-02;2.45E-02;1.44E-02;1.18E-02;1.01E-02;7.44E-03
NGA-West2;21;18;9.5;;5.4;32.922;-115.591;;117;;;E;;213.44;14.77;4.42E-02;4.43E-02;4.43E-02;6.90E-02;6.43E-02;1.04E-01;2.76E-01;2.17E-01;2.31E-01;1.69E-01;1.68E-01;1.61E-01;2.23E-01;2.09E-01;2.00E-01;1.22E-01;8.39E-02;7.27E-02;8.22E-02;4.49E-02;6.31E-02;5.86E-02;4.70E-02;3.84E-02;2.57E-02;1.97E-02;1.63E-02;1.51E-02;8.83E-03;4.04E-03;2.51E-03;1.81E-03;1.34E-03;9.49E-04;7.11E-04;5.66E-04
NGA-West2;22;19;16;;6.8;31.75;-115.917;;117;;;E;;213.44;121.22;4.50E-02;4.50E-02;4.50E-02;4.61E-02;4.85E-02;6.23E-02;9.25E-02;1.30E-01;2.46E-01;1.81E-01;1.56E-01;2.12E-01;2.94E-01;2.30E-01;1.92E-01;2.85E-01;2.10E-01;1.46E-01;1.60E-01;1.39E-01;2.10E-01;1.89E-01;1.57E-01;1.18E-01;9.54E-02;5.89E-02;2.69E-02;3.41E-02;2.74E-02;2.37E-02;1.33E-02;1.15E-02;8.95E-03;7.14E-03;6.73E-03;4.50E-03
