#,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, smlt_path='b3', gsimlt_path='b2_@_@_@_@_@_b61', imt='PGA', investigation_time=50.0, lon=13.38212999999999, lat=42.4, poe='0.0100000', iml='1.3598936e+00', rlz=9"
mag,dist,poe
4.75000E+00,5.00000E+00,0.00000E+00
4.75000E+00,1.50000E+01,0.00000E+00
4.75000E+00,2.50000E+01,0.00000E+00
4.75000E+00,3.50000E+01,0.00000E+00
4.75000E+00,4.50000E+01,0.00000E+00
4.75000E+00,5.50000E+01,0.00000E+00
4.75000E+00,6.50000E+01,0.00000E+00
4.75000E+00,7.50000E+01,0.00000E+00
4.75000E+00,8.50000E+01,0.00000E+00
4.75000E+00,9.50000E+01,0.00000E+00
4.75000E+00,1.05000E+02,0.00000E+00
4.75000E+00,1.15000E+02,0.00000E+00
4.75000E+00,1.25000E+02,0.00000E+00
4.75000E+00,1.35000E+02,0.00000E+00
4.75000E+00,1.45000E+02,0.00000E+00
4.75000E+00,1.55000E+02,0.00000E+00
4.75000E+00,1.65000E+02,0.00000E+00
4.75000E+00,1.75000E+02,0.00000E+00
4.75000E+00,1.85000E+02,0.00000E+00
4.75000E+00,1.95000E+02,0.00000E+00
5.25000E+00,5.00000E+00,0.00000E+00
5.25000E+00,1.50000E+01,1.39846E-04
5.25000E+00,2.50000E+01,0.00000E+00
5.25000E+00,3.50000E+01,0.00000E+00
5.25000E+00,4.50000E+01,0.00000E+00
5.25000E+00,5.50000E+01,0.00000E+00
5.25000E+00,6.50000E+01,0.00000E+00
5.25000E+00,7.50000E+01,0.00000E+00
5.25000E+00,8.50000E+01,0.00000E+00
5.25000E+00,9.50000E+01,0.00000E+00
5.25000E+00,1.05000E+02,0.00000E+00
5.25000E+00,1.15000E+02,0.00000E+00
5.25000E+00,1.25000E+02,0.00000E+00
5.25000E+00,1.35000E+02,0.00000E+00
5.25000E+00,1.45000E+02,0.00000E+00
5.25000E+00,1.55000E+02,0.00000E+00
5.25000E+00,1.65000E+02,0.00000E+00
5.25000E+00,1.75000E+02,0.00000E+00
5.25000E+00,1.85000E+02,0.00000E+00
5.25000E+00,1.95000E+02,0.00000E+00
5.75000E+00,5.00000E+00,1.20345E-04
5.75000E+00,1.50000E+01,6.17303E-04
5.75000E+00,2.50000E+01,1.19516E-06
5.75000E+00,3.50000E+01,0.00000E+00
5.75000E+00,4.50000E+01,0.00000E+00
5.75000E+00,5.50000E+01,0.00000E+00
5.75000E+00,6.50000E+01,0.00000E+00
5.75000E+00,7.50000E+01,0.00000E+00
5.75000E+00,8.50000E+01,0.00000E+00
5.75000E+00,9.50000E+01,0.00000E+00
5.75000E+00,1.05000E+02,0.00000E+00
5.75000E+00,1.15000E+02,0.00000E+00
5.75000E+00,1.25000E+02,0.00000E+00
5.75000E+00,1.35000E+02,0.00000E+00
5.75000E+00,1.45000E+02,0.00000E+00
5.75000E+00,1.55000E+02,0.00000E+00
5.75000E+00,1.65000E+02,0.00000E+00
5.75000E+00,1.75000E+02,0.00000E+00
5.75000E+00,1.85000E+02,0.00000E+00
5.75000E+00,1.95000E+02,0.00000E+00
6.25000E+00,5.00000E+00,1.41924E-03
6.25000E+00,1.50000E+01,1.03318E-03
6.25000E+00,2.50000E+01,1.20129E-04
6.25000E+00,3.50000E+01,1.61381E-06
6.25000E+00,4.50000E+01,0.00000E+00
6.25000E+00,5.50000E+01,0.00000E+00
6.25000E+00,6.50000E+01,0.00000E+00
6.25000E+00,7.50000E+01,0.00000E+00
6.25000E+00,8.50000E+01,0.00000E+00
6.25000E+00,9.50000E+01,0.00000E+00
6.25000E+00,1.05000E+02,0.00000E+00
6.25000E+00,1.15000E+02,0.00000E+00
6.25000E+00,1.25000E+02,0.00000E+00
6.25000E+00,1.35000E+02,0.00000E+00
6.25000E+00,1.45000E+02,0.00000E+00
6.25000E+00,1.55000E+02,0.00000E+00
6.25000E+00,1.65000E+02,0.00000E+00
6.25000E+00,1.75000E+02,0.00000E+00
6.25000E+00,1.85000E+02,0.00000E+00
6.25000E+00,1.95000E+02,0.00000E+00
6.75000E+00,5.00000E+00,1.24391E-03
6.75000E+00,1.50000E+01,7.63039E-04
6.75000E+00,2.50000E+01,1.84657E-04
6.75000E+00,3.50000E+01,3.08420E-05
6.75000E+00,4.50000E+01,1.58422E-06
6.75000E+00,5.50000E+01,0.00000E+00
6.75000E+00,6.50000E+01,0.00000E+00
6.75000E+00,7.50000E+01,0.00000E+00
6.75000E+00,8.50000E+01,0.00000E+00
6.75000E+00,9.50000E+01,0.00000E+00
6.75000E+00,1.05000E+02,0.00000E+00
6.75000E+00,1.15000E+02,0.00000E+00
6.75000E+00,1.25000E+02,0.00000E+00
6.75000E+00,1.35000E+02,0.00000E+00
6.75000E+00,1.45000E+02,0.00000E+00
6.75000E+00,1.55000E+02,0.00000E+00
6.75000E+00,1.65000E+02,0.00000E+00
6.75000E+00,1.75000E+02,0.00000E+00
6.75000E+00,1.85000E+02,0.00000E+00
6.75000E+00,1.95000E+02,0.00000E+00
7.25000E+00,5.00000E+00,1.53981E-03
7.25000E+00,1.50000E+01,9.07965E-04
7.25000E+00,2.50000E+01,2.47670E-04
7.25000E+00,3.50000E+01,6.25860E-05
7.25000E+00,4.50000E+01,2.17207E-05
7.25000E+00,5.50000E+01,7.73227E-06
7.25000E+00,6.50000E+01,3.87049E-06
7.25000E+00,7.50000E+01,6.24560E-08
7.25000E+00,8.50000E+01,2.93526E-09
7.25000E+00,9.50000E+01,0.00000E+00
7.25000E+00,1.05000E+02,0.00000E+00
7.25000E+00,1.15000E+02,0.00000E+00
7.25000E+00,1.25000E+02,0.00000E+00
7.25000E+00,1.35000E+02,0.00000E+00
7.25000E+00,1.45000E+02,0.00000E+00
