reference hazard value =  1.090606
mean_mag_disag =  6.700296097214078
mean_dist_disag =  11.277978199589757
num source event_id station_code recID_NGA component magnitude distance vs30 EC8 scale_factor
1 NGA-West2 50 1136 170 - 6.53 29.07 192.05 nan 4.87
2 NGA-West2 50 1336 171 - 6.53 19.44 264.57 nan 3.48
3 NGA-West2 50 955 179 - 6.53 27.13 208.91 nan 2.86
4 NGA-West2 50 958 183 - 6.53 28.09 206.08 nan 2.07
5 NGA-West2 50 6618 159 - 6.53 2.62 242.05 nan 4.56
6 NGA-West2 50 952 180 - 6.53 27.8 205.63 nan 2.65
7 NGA-West2 50 5165 184 - 6.53 27.23 202.26 nan 2.50
8 NGA-West2 50 5158 181 - 6.53 27.47 203.22 nan 2.43
9 NGA-West2 50 6616 158 - 6.53 2.47 259.86 nan 3.75
10 NGA-West2 50 6621 165 - 6.53 18.88 242.05 nan 4.12
