Period(s) lnCS(g) standard_deviation
  0.01 -0.46  0.00 
  0.03 -0.23  0.00 
  0.04 -0.14  0.00 
  0.05 -0.05  0.00 
  0.07  0.10  0.00 
  0.10  0.30  0.00 
  0.15  0.30  0.00 
  0.20  0.30  0.00 
  0.25  0.30  0.00 
  0.30  0.27  0.00 
  0.35  0.11  0.00 
  0.40 -0.02  0.00 
  0.45 -0.14  0.00 
  0.50 -0.24  0.00 
  0.60 -0.43  0.00 
  0.70 -0.58  0.00 
  0.75 -0.65  0.00 
  0.80 -0.71  0.00 
  0.90 -0.83  0.00 
  1.00 -0.94  0.00 
  1.20 -1.12  0.00 
  1.40 -1.27  0.00 
  1.60 -1.41  0.00 
  1.80 -1.53  0.00 
  2.00 -1.63  0.00 
  2.50 -1.85  0.00 
  3.00 -2.04  0.00 
  3.50 -2.19  0.00 
  4.00 -2.37  0.00 
