Period(s),target_spectrum,sigma(ln),mean_spectrum,RS_1,RS_2,RS_3,RS_4,RS_5,RS_6,RS_7
0.01,0.18164937142857146,0.0,0.18164937142857146,0.18164937142857146,0.18164937142857146,0.18164937142857143,0.18164937142857146,0.18164937142857152,0.18164937142857146,0.18164937142857146
0.025,0.2225481142857143,0.0,0.1892566427308644,0.18514337985731125,0.19078886215827343,0.19011883315098993,0.199514007770667,0.19113245278392663,0.1844381025314722,0.18366086086341046
0.04,0.24299748571428573,0.0,0.23592144851821553,0.18920971394116132,0.24315045558067833,0.22682792293169385,0.33294827235236313,0.2798908384859817,0.18997651561463322,0.18944642072099738
0.05,0.2634468571428572,0.0,0.2679468758027304,0.210621579272172,0.23373088032887976,0.26175043245388974,0.4517781601978001,0.32110889120816954,0.20607616783495705,0.19056201932324468
0.07,0.3043456000000001,0.0,0.3512594616956267,0.21401206443655518,0.25769855868448094,0.5053799634022363,0.6587310701676994,0.3815318388250913,0.23345830926574712,0.20800442708757674
0.1,0.36569371428571434,0.0,0.3648585617962647,0.32288945455501294,0.3061067313463516,0.4876798863339302,0.4704286401644778,0.36317831898790154,0.2672465209905772,0.33648038019560167
0.15,0.399776,0.0,0.40887065816851115,0.5827910946647511,0.4623405122302158,0.4567543211502153,0.21234319193665477,0.43553462110683566,0.3373380717903292,0.37499279430057636
0.2,0.399776,0.0,0.435899303238017,0.7776701418773282,0.6301451116135663,0.4780234155976181,0.22760191655155024,0.24862137046775096,0.24282078581936062,0.44641238073894446
0.25,0.399776,0.0,0.3998472327900348,0.5551311247673685,0.5165063630010277,0.43172088996466085,0.26936225205972586,0.35006811951147593,0.28662034360102256,0.38952153662496247
0.3,0.399776,0.0,0.3548237367579494,0.4942239943065424,0.4660010228160329,0.2780226066321343,0.17116310749789176,0.2998443141895146,0.41952402167827274,0.3549870901852571
0.35,0.39977599999999996,0.0,0.3745528102964934,0.6204495882545359,0.4283906631038027,0.33998885704603754,0.1641265196642325,0.1804245467639132,0.43871786746723124,0.44977162977570073
0.4,0.3498039999999999,0.0,0.3375388470705215,0.545176934500249,0.35798822939362807,0.4215968365203078,0.1501749253810625,0.18368936262252206,0.3489495005874071,0.3551961404884742
0.45,0.3109368888888888,0.0,0.261436479605808,0.29310698261954626,0.3343578310380267,0.28258065022026424,0.11049243138224032,0.13037573576725542,0.31969341276923485,0.35944831344408834
0.5,0.2798432,0.0,0.2683617713472723,0.26240058323590393,0.33238753348406996,0.40897210340320467,0.08146526727317123,0.11584765372048181,0.38793993042548974,0.2895193278885847
0.6,0.2332026666666667,0.0,0.22873453932084337,0.2651731516340707,0.30967295605344286,0.30316819847993404,0.09054630087118176,0.11115359096692759,0.24834873815585765,0.2730788390844892
0.7,0.19988799999999995,0.0,0.19859658682224254,0.1589419324885059,0.2474161983144912,0.22788708654693327,0.06548227243854148,0.08190529113245525,0.18116096501445011,0.42738236182032063
0.75,0.18656213333333332,0.0,0.18450592009548342,0.12956019069858965,0.22730765484069881,0.2709949569056493,0.06527720169188758,0.07850651728056159,0.1328377948653414,0.3870571243856556
0.8,0.17490199999999995,0.0,0.17557767528439466,0.10658502188882131,0.2076150784789311,0.30339607106549826,0.07734976351017013,0.06937708611237807,0.14998319688415976,0.31473750905080405
0.9,0.15546844444444444,0.0,0.14895295106726994,0.08350051301776219,0.16100423038026723,0.22147794812412255,0.09445621207901334,0.04723203160111252,0.17324571002105216,0.26175401224755934
1.0,0.13992159999999998,0.0,0.1356627671280922,0.08233298754662448,0.14179833553956836,0.12022675989737132,0.10473375260342954,0.028966822601366574,0.1942392373934363,0.2773414743148488
1.2,0.11660133333333335,0.0,0.11955491069927993,0.1036584655826254,0.126564233340185,0.09483080414387374,0.07296448474457337,0.01659025130330948,0.21355508191108732,0.20872105386930523
1.4,0.09994399999999999,0.0,0.0999057917939176,0.11646099981878452,0.14415929553956833,0.05428960772619448,0.0683579591683373,0.009346747431677127,0.1586314188534395,0.14809451401942192
1.6,0.08745099999999999,0.0,0.08446049059619291,0.11847251108293412,0.11525894051387463,0.031791776947281795,0.07619917573314242,0.007552019518082046,0.09960441421305623,0.14234459616497921
1.8,0.07773422222222222,0.0,0.0744728162482881,0.10870595181962575,0.1021767748406989,0.028179404589243354,0.05422425371320233,0.005780682042512639,0.08085429467182594,0.14138835206090783
2.0,0.06996080000000002,0.0,0.07005977095063652,0.08511160855781731,0.0824120975128469,0.02495317268528827,0.05634175266974586,0.004686077891593696,0.07062281811997714,0.16629086921718647
2.5,0.05025536122879999,0.0,0.0562765309862711,0.05834200161819244,0.04369457200411104,0.013239929910441983,0.07326609006662417,0.0022900714290756776,0.04943081811316401,0.15367223376228833
3.0,0.03489955640888889,0.0,0.04415012397568484,0.03635050033322163,0.04756583926002056,0.007975451713220703,0.0766943720145026,0.0015512113217934806,0.04370042975375038,0.09521306343328452
3.5,0.02564049042285715,0.0,0.049680549814250394,0.049443559994636614,0.04810832970195273,0.0077654834022365315,0.05707124097463692,0.0011678403067131474,0.06580704121319737,0.11840035310637943
4.0,0.01963100048,0.0,0.0395183597673426,0.04844299231658423,0.02861087657965058,0.00656568984847751,0.042230484980784286,0.0009220942459809922,0.052173634551618,0.09768274584830261
